img_num,x,y,label,img_source
0,37.5,98.5,1,saa_img1.png
1,89.5,96.5,0,saa_img1.png
2,85.5,95.5,0,saa_img1.png
3,45.5,95.5,1,saa_img1.png
4,85.5,92.5,0,saa_img1.png
5,31.5,91.5,1,saa_img1.png
6,60.5,90.5,1,saa_img1.png
7,3.5,86.5,0,saa_img1.png
8,62.5,83.5,1,saa_img1.png
9,19.5,83.5,1,saa_img1.png
10,78.5,80.5,0,saa_img1.png
11,60.5,77.5,1,saa_img1.png
12,8.5,77.5,1,saa_img1.png
13,24.5,76.5,1,saa_img1.png
14,51.5,75.5,1,saa_img1.png
15,82.5,73.5,1,saa_img1.png
16,41.5,73.5,0,saa_img1.png
17,39.5,72.5,0,saa_img1.png
18,93.5,69.5,1,saa_img1.png
19,41.5,69.5,1,saa_img1.png
20,12.5,66.5,1,saa_img1.png
21,35.5,65.5,1,saa_img1.png
22,96.5,63.5,0,saa_img1.png
23,99.5,62.5,0,saa_img1.png
24,71.5,62.5,0,saa_img1.png
25,12.5,60.5,0,saa_img1.png
26,22.5,57.5,1,saa_img1.png
27,4.5,56.5,0,saa_img1.png
28,97.5,52.5,1,saa_img1.png
29,37.5,50.5,1,saa_img1.png
30,15.5,48.5,1,saa_img1.png
31,54.5,45.5,0,saa_img1.png
32,2.5,45.5,1,saa_img1.png
33,31.5,43.5,1,saa_img1.png
34,11.5,43.5,1,saa_img1.png
35,57.5,41.5,1,saa_img1.png
36,49.5,40.5,0,saa_img1.png
37,12.5,38.5,0,saa_img1.png
38,52.5,36.5,0,saa_img1.png
39,45.5,36.5,0,saa_img1.png
40,14.5,36.5,1,saa_img1.png
41,85.5,35.5,0,saa_img1.png
42,63.5,32.5,0,saa_img1.png
43,10.5,32.5,0,saa_img1.png
44,66.5,30.5,0,saa_img1.png
45,8.5,27.5,0,saa_img1.png
46,32.5,24.5,0,saa_img1.png
47,0.5,24.5,1,saa_img1.png
48,84.5,23.5,0,saa_img1.png
49,17.5,22.5,1,saa_img1.png
50,45.5,21.5,0,saa_img1.png
51,33.5,21.5,0,saa_img1.png
